timestamp,progressStatus,recordedAtTime,directionRef,journeyPatternRef,bearing,progressRate,vehicleRef,longitude,latitude
1580209861,,2020-01-28T06:11:15-05:00,0,MTA_B670127,44.61253,normalProgress,MTA NYCT_365,-73.9867,40.660922
1580209861,,2020-01-28T06:10:57-05:00,1,MTA_B670134,229.80089,normalProgress,MTA NYCT_762,-73.978844,40.670134
1580209921,layover,2020-01-28T06:12:01-05:00,0,MTA_B670127,10.333877,noProgress,MTA NYCT_417,-73.9676,40.706937
1580209921,,2020-01-28T06:12:16-05:00,0,MTA_B670127,49.783916,normalProgress,MTA NYCT_365,-73.984538,40.663317
1580209921,,2020-01-28T06:12:17-05:00,1,MTA_B670134,270.0,normalProgress,MTA NYCT_369,-73.987759,40.700093
1580209921,layover,2020-01-28T06:11:57-05:00,1,MTA_B670134,280.4507,noProgress,MTA NYCT_375,-73.978955,40.638738
1580209921,,2020-01-28T06:11:58-05:00,0,MTA_B670127,158.6232,normalProgress,MTA NYCT_466,-73.985452,40.689521
1580209921,,2020-01-28T06:11:58-05:00,1,MTA_B670134,230.13316,normalProgress,MTA NYCT_762,-73.980506,40.668164
1580209981,,2020-01-28T06:13:18-05:00,1,MTA_B670134,264.81744,normalProgress,MTA NYCT_369,-73.98702,40.697407
1580209981,layover,2020-01-28T06:13:02-05:00,0,MTA_B670127,10.333877,noProgress,MTA NYCT_417,-73.9676,40.706937
1580209981,,2020-01-28T06:13:16-05:00,0,MTA_B670127,50.492817,normalProgress,MTA NYCT_365,-73.983564,40.664493
1580209981,,2020-01-28T06:12:59-05:00,0,MTA_B670127,158.19243,normalProgress,MTA NYCT_466,-73.987249,40.690234
1580209981,layover,2020-01-28T06:12:58-05:00,1,MTA_B670134,280.4507,noProgress,MTA NYCT_375,-73.978955,40.638738
1580209981,,2020-01-28T06:12:29-05:00,1,MTA_B670134,230.13316,normalProgress,MTA NYCT_762,-73.981262,40.667259
1580210041,layover,2020-01-28T06:14:02-05:00,0,MTA_B670127,10.333877,noProgress,MTA NYCT_417,-73.9676,40.706937
1580210041,,2020-01-28T06:13:55-05:00,1,MTA_B670134,230.32729,normalProgress,MTA NYCT_762,-73.98351,40.664563
1580210041,,2020-01-28T06:14:00-05:00,0,MTA_B670127,87.06432,normalProgress,MTA NYCT_466,-73.987302,40.69195
1580210041,,2020-01-28T06:14:19-05:00,1,MTA_B670134,265.77383,normalProgress,MTA NYCT_369,-73.987091,40.696451
1580210041,,2020-01-28T06:14:17-05:00,0,MTA_B670127,49.853313,normalProgress,MTA NYCT_365,-73.981989,40.666397
1580210101,layover,2020-01-28T06:15:03-05:00,0,MTA_B670127,10.333877,noProgress,MTA NYCT_417,-73.9676,40.706937
1580210101,,2020-01-28T06:13:55-05:00,1,MTA_B670134,230.32729,normalProgress,MTA NYCT_762,-73.98351,40.664563
1580210101,,2020-01-28T06:15:01-05:00,0,MTA_B670127,87.06432,normalProgress,MTA NYCT_466,-73.98729,40.692188
1580210101,,2020-01-28T06:14:58-05:00,0,MTA_B670127,101.18268,normalProgress,MTA NYCT_367,-73.980973,40.650828
1580210101,,2020-01-28T06:15:18-05:00,0,MTA_B670127,50.082508,normalProgress,MTA NYCT_365,-73.980811,40.667797
1580210101,,2020-01-28T06:15:21-05:00,1,MTA_B670134,267.58127,normalProgress,MTA NYCT_369,-73.987175,40.695029
1580210161,layover,2020-01-28T06:16:04-05:00,0,MTA_B670127,10.333877,noProgress,MTA NYCT_417,-73.9676,40.706937
1580210161,,2020-01-28T06:15:58-05:00,0,MTA_B670127,99.46232,normalProgress,MTA NYCT_367,-73.981765,40.655041
1580210161,,2020-01-28T06:13:55-05:00,1,MTA_B670134,230.32729,normalProgress,MTA NYCT_762,-73.98351,40.664563
