project_id,project_description,managing_agency_id,managing_agency,ten_year_plan_category,community_boards_served,borough,budget_lines,original_budget,city_prior_actuals,city2021,city2022,city2023,city2024,city2025,city_r_t_c,city_total,non_city_prior_actuals,non_city2021,non_city2022,non_city2023,non_city2024,non_city2025,non_city_r_t_c,non_city_total,combined_prior_actuals,combined2021,combined2022,combined2023,combined2024,combined2025,combined_r_t_c,combined_total,explanation_for_delay,project_location,scope_summary,source_pdf,latitude,longitude
HAM18WKCC,WYCKOFF GARDENS COMMUNITY CENTER RENOVATION,806,HOUSING PRESERVATION AND DEVEL,LOW TO MODERATE INCOME PUBLIC HOUSING UPGRADE,306,BROOKLYN,HA-D001,414,0,414,0,0,0,0,0,414,0,414,0,0,0,0,0,414,0,828,0,0,0,0,0,828,NA,NA,WYCKOFF GARDENS COMMUNITY CENTER RENOVATION,cpd11-20bk.pdf,40.68298158,-73.98351192
HAM18WKLG,WYCKOFF GARDENS LIGHTING,806,HOUSING PRESERVATION AND DEVEL,LOW TO MODERATE INCOME PUBLIC HOUSING UPGRADE,306,BROOKLYN,HA-D001,300,0,300,0,0,0,0,0,300,0,300,0,0,0,0,0,300,0,600,0,0,0,0,0,600,NA,NA,INSTALLATION OF LIGHTING AT WYCKOFF GARDENS,cpd11-20bk.pdf,40.68298158,-73.98351192
HAM20GHLC,LED LIGHTING AND CAMERAS GOWANUS HOUSES,806,HOUSING PRESERVATION AND DEVEL,LOW TO MODERATE INCOME PUBLIC HOUSING UPGRADE,306,BROOKLYN,HA-D001,150,0,150,0,0,0,0,0,150,0,150,0,0,0,0,0,150,0,300,0,0,0,0,0,300,NA,NA,GOWANUS HOUSES -- LED LIGHTING AND CAMERAS,cpd11-20bk.pdf,40.68351646,-73.9892241
HAM20WRCS,WYCKOFF GARDENS - RENOVATION OF COMMUNITY SPACE,806,HOUSING PRESERVATION AND DEVEL,LOW TO MODERATE INCOME PUBLIC HOUSING UPGRADE,306,BROOKLYN,HA-D001,2500,0,2500,0,0,0,0,0,2500,0,2500,0,0,0,0,0,2500,0,5000,0,0,0,0,0,5000,NA,NA,"WYCKOFF GARDENS -- FUNDING FOR RENOVATIONS OF COMMUNITY SPACES, LIGHTING, CAMERAS AND",cpd11-20bk.pdf,40.68298158,-73.98351192
SEK 2390.00,Guniting of Outfall Sewers on Wolcott St BKLYN,826,DEPT ENVIRONMENTAL PROTECTION,REPLACEMENT OR AUGMENTATION OF EXISTING SYSTEMS,306,BROOKLYN,SE-0002K,1469,0,0,1304,0,0,0,0,1304,0,0,1304,0,0,0,0,1304,0,0,2608,0,0,0,0,2608,NA,NA,"REHABILITATION OF 72"" CIRCULAR BRICK OUTFALL SEWER BY GUNITING ALONG WOLCOTT STREET",cpd11-20bk.pdf,40.67794612,-74.01381053
HBK1213,"RECON UNION ST BRIDGE OVER GOWANUS CANAL, BROOKLYN 2-24027-0",841,DEPARTMENT OF TRANSPORTATION,BRIDGE LIFE EXTENSION AND MISCELLANEOUS WORK,306,BROOKLYN,HB-1213,69010,3654,0,0,0,0,0,47871,51525,3654,0,0,0,0,0,47871,51525,7308,0,0,0,0,0,95742,103050,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,"RECONSTRUCT UNION STREET BRIDGE OVER GOWANUS CANAL, BROOKLYN","RECONSTRUCT UNION STREET BRIDGE OVER GOWANUS CANAL, BROOKLYN",cpd11-20bk.pdf,40.67949264,-73.98833146
P-200CRSL,PPA- Recon. Carousel (B073-218M),846,DEPT OF PARKS AND RECREATION,"LARGE, MAJOR AND REGIONAL PARK RECONSTRUCTION",300 306 307 308 309 314,BROOKLYN,P-D017,500,168,422,0,0,0,0,0,590,168,422,0,0,0,0,0,590,336,844,0,0,0,0,0,1180,NA,"PROSPECT PARK WEST , PARKSIDE AVENUE, BETWEEN FLATBUSH AVENUE, OCEAN AVENUE AND",PROSPECT PARK - CAROUSEL RECONSTRUCTION,cpd11-20bk.pdf,40.66372637,-73.96418284
P-200LFHH,PPA- Restor. Lefferts Historic House,846,DEPT OF PARKS AND RECREATION,"LARGE, MAJOR AND REGIONAL PARK RECONSTRUCTION",300 306 307 308 309 314,BROOKLYN,P-D017,2500,437,2463,0,0,0,0,0,2900,437,2463,0,0,0,0,0,2900,874,4926,0,0,0,0,0,5800,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,"PROSPECT PARK WEST, PARKSODE AVENUE, BETWEEN FLATBUSH AVENUE, OCEAN AVENUE AND",PROSPECT PARK - LEFFERTS HISTORIC HOUSE,cpd11-20bk.pdf,40.66440185,-73.96380734
P-200LONG,"PPA - LONG MEADOW BALLFIELDS RENOV, B073-214M",846,DEPT OF PARKS AND RECREATION,"LARGE, MAJOR AND REGIONAL PARK RECONSTRUCTION",306 307 308 309 314 300,BROOKLYN,P-D017,2836,2257,298,0,0,0,0,0,2555,2257,298,0,0,0,0,0,2555,4514,596,0,0,0,0,0,5110,PROJECT DELAYED DUE TO UNFORESEEN HAZARDOUS CONDITION,BROOKLYN,THE RENOVATION OF THE LONG MEADOW BALLFIELD IN PROSPECT PARK,cpd11-20bk.pdf,40.66180231,-73.97431782
P-200PPBL,PPA- Long Meadow Ballfields 4-5 (B073-215M),846,DEPT OF PARKS AND RECREATION,"LARGE, MAJOR AND REGIONAL PARK RECONSTRUCTION",300 306 307 308 309 314,BROOKLYN,P-D017,750,1599,120,0,0,0,0,0,1719,1599,120,0,0,0,0,0,1719,3198,240,0,0,0,0,0,3438,NA,"PROSPECT PARK WEST, PARKSIDE AVENUE, BETWEEN FLATBUSH AVENUE, OCEAN AVENUE AND",PROSPECT PARK - LONG MEADOW,cpd11-20bk.pdf,40.66180231,-73.97431782
P-200PPCS,RECONSTRUCTION OF COMFORT STATION,846,DEPT OF PARKS AND RECREATION,"LARGE, MAJOR AND REGIONAL PARK RECONSTRUCTION",306 307 308 309 314,BROOKLYN,P-D017,2250,0,0,2250,0,0,0,0,2250,0,0,2250,0,0,0,0,2250,0,0,4500,0,0,0,0,4500,NA,"PROSPECT PARK W, PARKSIDE AVE. BET. FLATBUSH AVE., OCEAN AVE. AND PROSPECT PARK SW,","RECONSTRUCTION OF COMFORT STATION IN PROSPECT PARK, BROOKLYN.",cpd11-20bk.pdf,40.6598962782046,-73.972415892787
P-200PPFB,PPA - Flatbush Avenue Park Perimeter B073-315M,846,DEPT OF PARKS AND RECREATION,"LARGE, MAJOR AND REGIONAL PARK RECONSTRUCTION",306 307 309 309 314,BROOKLYN,P-D017 P-K001 P-K011,400,2259,284,0,0,0,0,0,2543,2259,284,0,0,0,0,0,2543,4518,568,0,0,0,0,0,5086,PROJECT DELAYED DUE TO UNFORESEEN SITE/FIELD CONDITION,"PROSPECT PARK WEST, PARKSIDE AVENUE, BETWEEN FLATBUSH AVENUE, OCEAN AVENUE &",PROSPECT PARK ALLIANCE-FLATBUSH AVENUE PARK PERIMETER RESTORATION,cpd11-20bk.pdf,40.66778508,-73.96581201
P-200PPMO,PPA- New M&O Facility & Compound in Prospect Park B073-415M,846,DEPT OF PARKS AND RECREATION,"LARGE, MAJOR AND REGIONAL PARK RECONSTRUCTION",306 307 308 309 314,BROOKLYN,P-D017 P-K001,2000,553,1437,3261,0,0,0,0,5251,553,1437,3261,0,0,0,0,5251,1106,2874,6522,0,0,0,0,10502,PROJECT DELAYED PENDING RESOLUTION OF LEGAL ISSUES,"PROSPECT PARK WEST, PARKSIDE AVENUE BETWEEN FLATBUSH AVENUE, OCEAN AVENUE, PROSPECT",PROSPECT PARK ALLIANCE - NEW MAINTENANCE AND OPERATIONS FACILITY AND COMPOUND IN,cpd11-20bk.pdf,40.66384428,-73.96950869
P-200PPNM,Prospect Park Nethermead - Repave Walking Path,846,DEPT OF PARKS AND RECREATION,NEIGHBORHOOD PARKS AND PLAYGROUNDS,300 306 307 314 309 308,BROOKLYN,P-D017,535,0,100,400,0,0,0,0,500,0,100,400,0,0,0,0,500,0,200,800,0,0,0,0,1000,NA,"PROSPECT PARK W, PARKSIDE AVE. BET. FLATBUSH AVE., OCEAN AVE. AND PROSPECT PARK SW,",PROSPECT PARK NETHERMEAD - REPAVE WALKING PATH,cpd11-20bk.pdf,40.66071749,-73.96831073
P-200PPPH,PPA- PROSPECT PARK PICNIC HOUSE RENOVATION B073-419M,846,DEPT OF PARKS AND RECREATION,"LARGE, MAJOR AND REGIONAL PARK RECONSTRUCTION",306 307 308 309 314 300,BROOKLYN,P-K001 P-1018 P-C412,1000,173,566,0,0,0,0,0,739,173,566,0,0,0,0,0,739,346,1132,0,0,0,0,0,1478,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,BOROUGH OF BROOKLYN,INSTALLATION OF AIR CONDITIONING IN THE PICNIC HOUSE,cpd11-20bk.pdf,40.66557656,-73.97153209
P-206MARY,St. Mary's Plgd. Play Equip. Recon. Safety Surf. B118-115M,846,DEPT OF PARKS AND RECREATION,NEIGHBORHOOD PARKS AND PLAYGROUNDS,300 306,BROOKLYN,P-D017 P-1018,850,1102,0,202,0,0,0,0,1304,1102,0,202,0,0,0,0,1304,2204,0,404,0,0,0,0,2608,PROJECT DELAYED DUE TO UNFORESEEN SITE/FIELD CONDITION,"SMITH STREET, BETWEEN NELSON AND HUNTINGTON STREET, BOROUGH OF BROOKLYN",RECONSTRUCTION OF ST MARY'S PLAYGROUND.,cpd11-20bk.pdf,40.67663426,-73.9970518
P-206PENN,William Penn Playground - Renovate P.S. 321,846,DEPT OF PARKS AND RECREATION,NEIGHBORHOOD PARKS AND PLAYGROUNDS,306,BROOKLYN,P-D017,800,0,0,800,0,0,0,0,800,0,0,800,0,0,0,0,800,0,0,1600,0,0,0,0,1600,NA,"WILLIAM PENN PLAYGROUND - P.S. 231, BOROUGH OF BROOKLYN",WILLIAM PENN PLAYGROUND - RENOVATE P.S. 321,cpd11-20bk.pdf,40.67167602,-73.97849267
P-206REDH,RC - PATHS AND BBQ AREA IN COFFEY PARK B077-112M,846,DEPT OF PARKS AND RECREATION,"LARGE, MAJOR AND REGIONAL PARK RECONSTRUCTION",306 300,BROOKLYN,P-D017,1750,1865,239,0,0,0,0,0,2104,1865,239,0,0,0,0,0,2104,3730,478,0,0,0,0,0,4208,NA,"OTSEGO, BAY HICKS, LORRAINE, COURT, HALLECK STREETS, BOROUGH OF BROOKLYN",RED HOOK PARK-CONSTRUCTION OF BICYCLE AND PEDESTRIAN PATH WITH FITNESS STATIONS AND,cpd11-20bk.pdf,40.67763242,-74.00850046
P-206RHCF,Red Hook - Community Farm Upgrades,846,DEPT OF PARKS AND RECREATION,MAJOR RECREATIONAL FACILITIES AND FACILITY RECONSTRUCTION,306,BROOKLYN,P-D017 P-K011,500,68,500,0,0,0,0,0,568,68,500,0,0,0,0,0,568,136,1000,0,0,0,0,0,1136,NA,"HALLECK ST., BUSH ST. BET. OTSEGO ST. AND COURT ST. , BROOKLYN",RED HOOK - COMMUNITY FARM UPGRADES,cpd11-20bk.pdf,40.67245714,-74.00979804
P-206SMRY,St. Mary's Playground (B118-116M),846,DEPT OF PARKS AND RECREATION,NEIGHBORHOOD PARKS AND PLAYGROUNDS,300 306,BROOKLYN,P-1018,927,1358,1,313,0,0,0,0,1672,1358,1,313,0,0,0,0,1672,2716,2,626,0,0,0,0,3344,PROJECT DELAYED DUE TO UNFORESEEN SITE/FIELD CONDITION,SMITH STREET BETWEEN NELSON STREET AND HUNTINGTON STREET - BROOKLYN,ST MARY'S PLAYGROUND,cpd11-20bk.pdf,40.67671562,-73.99704107
P-2RHBALL,Red Hook ball fields B126-116M,846,DEPT OF PARKS AND RECREATION,NEIGHBORHOOD PARKS AND PLAYGROUNDS,300 306,BROOKLYN,P-0245K,11690,13714,2158,0,0,0,0,0,15872,13714,2158,0,0,0,0,0,15872,27428,4316,0,0,0,0,0,31744,PROJECT DELAYED DUE TO UNFORESEEN SITE/FIELD CONDITION,NA,RED HOOK BALL FIELDS,cpd11-20bk.pdf,40.67188843,-74.00301663
P-2TRE14A,"FY14 Street Tree Planting, Brooklyn CB's 1 - 6 & 8 - BG-813M",846,DEPT OF PARKS AND RECREATION,LAND ACQUISITION AND TREE PLANTING,300 301 302 303 304 305 306 308,BROOKLYN,P-0822 P-D822 P-K822,2638,2439,43,0,0,0,0,0,2482,2439,43,0,0,0,0,0,2482,4878,86,0,0,0,0,0,4964,PROJECT DELAYED DUE TO UNFORESEEN SITE/FIELD CONDITION,NA,PLANTING OF NEW AND REPLACEMENT STREET TREES AT,cpd11-20bk.pdf,40.67905293,-73.99293666
SANDY2-13,SANDY - PNP Prospect Park Alliance,846,DEPT OF PARKS AND RECREATION,NEIGHBORHOOD PARKS AND PLAYGROUNDS,300 306 307 308 309 314,BROOKLYN,P-1018,548,37,0,0,0,46,0,0,83,37,0,0,0,46,0,0,83,74,0,0,0,92,0,0,166,PROJECT DELAYED DUE TO UNFORESEEN SITE/FIELD CONDITION,BROOKLYN,PROSPECT PARK,cpd11-20bk.pdf,40.66339123,-73.96943023
BED-794,DUMBO/Vinegar Hill Area Reconstruction & Plaza.,850,DEPT OF DESIGN & CONSTRUCTION,TRUNK AND DISTRIBUTION MAIN REPLACEMENT,302 306,BROOKLYN,SE-0002K SE-0004,9413,48296,157,6288,0,0,0,0,54741,48296,157,6288,0,0,0,0,54741,96592,314,12576,0,0,0,0,109482,PROJECT DELAYED DUE TO UNFORESEEN SITE/FIELD CONDITION,NA,"TRUNK/DIST WM REPLAC. & INSTALLATION, COMBINED SWR REPLACE, HI LEVEL STORM SWR",cpd11-20bk.pdf,40.70215269,-73.9866932
BED798,"72"" Replacement in Flatbush Avenue between Sterling Pl & 8th",850,DEPT OF DESIGN & CONSTRUCTION,TRUNK AND DISTRIBUTION MAIN REPLACEMENT,306 308,BROOKLYN,SE-0002K WM-0006 HW-0001K TF-0002,25804,48384,1059,1270,0,0,0,0,50713,48384,1059,1270,0,0,0,0,50713,96768,2118,2540,0,0,0,0,101426,PROJECT DELAYED DUE TO UNFORESEEN SITE/FIELD CONDITION,NA,"72"" REPLACEMENT IN FLATBUSH AVENUE BETWEEN STERLING PL & 8TH AVE. (WITH COMBINED AND",cpd11-20bk.pdf,40.67614731,-73.97171926
BED-802,"WM Replacement Hamilton Ave Gowanus Connector, BK HWK1048D",850,DEPT OF DESIGN & CONSTRUCTION,TRUNK AND DISTRIBUTION MAIN REPLACEMENT,306 307,BROOKLYN,SE-0002K WM-0001 SE-0200K,1920,11649,3834,1044,1566,0,0,0,18093,11649,3834,1044,1566,0,0,0,18093,23298,7668,2088,3132,0,0,0,36186,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,NA,"WM REPLACEMENT HAMILTON AVE GOWARNUS CONNECTOR B/T SMITH & 19 ST, BKLYN",cpd11-20bk.pdf,40.67382725,-73.99986466
HAM14GOCC,GOWANUS COMMUNITY CENTER RENOVATIONS,850,DEPT OF DESIGN & CONSTRUCTION,LOW TO MODERATE INCOME PUBLIC HOUSING UPGRADE,306,BROOKLYN,HA-D001 HA-0001,150,0,4000,0,0,0,0,0,4000,0,4000,0,0,0,0,0,4000,0,8000,0,0,0,0,0,8000,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,NA,COMMUNITY CENTER RENOVATIONS,cpd11-20bk.pdf,40.67896162,-73.99090208
HWK700B,Reconstruction of Columbia Street Area Phase II (BED-768B),850,DEPT OF DESIGN & CONSTRUCTION,PRIMARY STREET RECONSTRUCTION,306,BROOKLYN,HW-0001K,14097,2038,0,48185,0,0,0,0,50223,2038,0,48185,0,0,0,0,50223,4076,0,96370,0,0,0,0,100446,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,COLUMBIA STREET RECONSTRUCTION (SOUTH OF HAMILTON AVE.) THIS PROJECTIS IN CONJUNCTION,COLUMBIA STREET RECONSTRUCTION (SOUTH OF HAMILTON AVE.) THIS PROJECTIS IN CONJUNCTION,cpd11-20bk.pdf,40.68656562,-74.00204353
LBC17PCFS,PACIFIC LIFE & FIRE SAFETY,850,DEPT OF DESIGN & CONSTRUCTION,ESSENTIAL RECONSTRUCTION OF FACILITIES,306,BROOKLYN,LB-D104 LB-0104,638,602,0,0,331,0,0,0,933,602,0,0,331,0,0,0,933,1204,0,0,662,0,0,0,1866,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,NA,PACIFIC LIFE & FIRE SAFETY,cpd11-20bk.pdf,40.68360666,-73.9785522
LBM13CGHC,CARROLL GARDENS HVAC REPLACEMENT,850,DEPT OF DESIGN & CONSTRUCTION,ESSENTIAL RECONSTRUCTION OF FACILITIES,306,BROOKLYN,LB-0104 LB-D104,1105,1019,0,3028,0,0,0,0,4047,1019,0,3028,0,0,0,0,4047,2038,0,6056,0,0,0,0,8094,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,NA,CARROLL GARDENS HVAC REPLACEMENT,cpd11-20bk.pdf,40.6832904,-73.99787837
PW77GOWAN,GOWANUS CANAL 1 ST TURNING BASIN,850,DEPT OF DESIGN & CONSTRUCTION,MISCELLANEOUS CONSTRUCTION,306,BROOKLYN,PW-0077,4800,3856,0,444,0,0,0,0,4300,3856,0,444,0,0,0,0,4300,7712,0,888,0,0,0,0,8600,PROJECT DELAYED DUE TO UNFORESEEN SITE/FIELD CONDITION,NA,GOWANUS CANAL 1ST STREET TURNING BASIN ENVIRONMENTAL REMEDIATION DESIGN,cpd11-20bk.pdf,40.67744674,-73.98928984
S136-436,Brooklyn 6 Garage Rehabilitation,850,DEPT OF DESIGN & CONSTRUCTION,GARAGES AND FACILITIES,306,BROOKLYN,S-0136,100,2693,700,13731,0,0,0,0,17124,2693,700,13731,0,0,0,0,17124,5386,1400,27462,0,0,0,0,34248,NA,NA,REHAB,cpd11-20bk.pdf,40.6711033,-73.99435276
SANDELEC8,ERIE BASIN TOW POUND ELECTRICAL (SANDY),850,DEPT OF DESIGN & CONSTRUCTION,POLICE FACILITIES,300 306,BROOKLYN,PO-0079,1990,36,21,157,0,0,0,0,214,36,21,157,0,0,0,0,214,72,42,314,0,0,0,0,428,PROJECT DELAYED DUE TO UNFORESEEN SITE/FIELD CONDITION,NA,ELECTRICAL SYSTEM REPLACEMENT,cpd11-20bk.pdf,40.66526321,-74.01339378
SEK 2380.00,"Combined relief sewer & WM replac. at 7ST B/T 3 & 4 AV, BKL",850,DEPT OF DESIGN & CONSTRUCTION,REPLACEMENT OR AUGMENTATION OF EXISTING SYSTEMS,306,BROOKLYN,EP-0007 HW-0200 SE-1000 SE-0200K SE-0944 TF-0002 TF-0502 WM-0001,2946,3389,9093,0,0,0,0,0,12482,3389,9093,0,0,0,0,0,12482,6778,18186,0,0,0,0,0,24964,PROJECT DELAYED DUE TO BUDGETARY CONSTRAINTS,NA,COMBINED RELIEF SEWER & CHAMBERS & WATER MAIN REPLACEMENT AT 7TH STREET B/T 3 & 4,cpd11-20bk.pdf,40.6721456,-73.98889576
SEK 20065.00,High level storm sewer Gowanus Canal Area,850,DEPT OF DESIGN & CONSTRUCTION,EXTENSIONS TO ACCOMMODATE NEW DEVELOPMENT,306,BROOKLYN,SE-0004,9400,34807,0,0,92,0,0,0,34899,34807,0,0,92,0,0,0,34899,69614,0,0,184,0,0,0,69798,PROJECT DELAYED DUE TO UNFORESEEN SITE/FIELD CONDITION,NA,DRAINAGE PLAN HIGH LEVEL STORM SEWER INSTALLATION AND WM-1 REPLACEMENT IN GOWANUS,cpd11-20bk.pdf,40.67710276,-73.99089621
SEK 20067.00,High level storm sewer Gowanus Canal Area. Phase 2.,850,DEPT OF DESIGN & CONSTRUCTION,EXTENSIONS TO ACCOMMODATE NEW DEVELOPMENT,306,BROOKLYN,SE-0004 SE-0944,9600,25976,2828,820,820,0,0,0,30444,25976,2828,820,820,0,0,0,30444,51952,5656,1640,1640,0,0,0,60888,PROJECT DELAYED DUE TO BUDGETARY CONSTRAINTS,NA,DRAINAGE PLAN HIGH LEVEL STORM SEWER INSTALLATION AND WM-1 REPLACEMENT IN GOWANUS,cpd11-20bk.pdf,40.67710276,-73.99089621
